new_visit_code,CodeType,cover
ESV-28-T-461-02.post04-5,Graminoid,5.05
ESV-28-T-461-02.post04-5,Shrub,2.85
ESV-28-T-461-02.post04-5,Tree,0.825
ESV-28-T-461-02.post10-11,Forb,1.55
ESV-28-T-461-02.post10-11,Graminoid,4.7250000000000005
ESV-28-T-461-02.post10-11,Shrub,2.0625
ESV-28-T-461-02.post10-11,Tree,0.375
ESV-28-T-461-02.post10-11,UNK,0.8
ESV-28-T-462-05.01_Pre,Forb,0.675
ESV-28-T-462-05.01_Pre,Graminoid,0.825
ESV-28-T-462-05.01_Pre,Shrub,0.1
ESV-28-T-462-05.01_Pre,Tree,8.05
ESV-28-T-462-05.post0-1,Forb,0.25
ESV-28-T-462-05.post0-1,Graminoid,1.075
ESV-28-T-462-05.post0-1,Shrub,0.325
ESV-28-T-462-05.post0-1,Tree,2.8
ESV-28-T-462-05.post04-5,Forb,1.3
ESV-28-T-462-05.post04-5,Graminoid,5.8
ESV-28-T-462-05.post04-5,Shrub,2.8
ESV-28-T-462-05.post04-5,Tree,3.525
ESV-28-T-462-05.post04-5,UNK,0.05
ESV-28-T-462-05.post10-11,Forb,1.7125000000000001
ESV-28-T-462-05.post10-11,Graminoid,2.1999999999999997
ESV-28-T-462-05.post10-11,Shrub,4.3999999999999995
ESV-28-T-462-05.post10-11,Tree,4.175
ESV-28-T-464-02.01_Pre,Forb,0.225
ESV-28-T-464-02.01_Pre,Graminoid,4.3
ESV-28-T-464-02.01_Pre,Shrub,1.1375
ESV-28-T-464-02.01_Pre,Tree,3.25
ESV-28-T-464-02.post0-1,Forb,0.17500000000000002
ESV-28-T-464-02.post0-1,Graminoid,4.275
ESV-28-T-464-02.post0-1,Shrub,1.875
ESV-28-T-464-02.post0-1,Tree,0.05
ESV-28-T-464-02.post04-5,Forb,6.175
ESV-28-T-464-02.post04-5,Graminoid,35.05
ESV-28-T-464-02.post04-5,Shrub,4.85
ESV-28-T-464-02.post04-5,Tree,0.3
ESV-28-T-464-02.post10-11,Forb,7.325
ESV-28-T-464-02.post10-11,Graminoid,13.625
ESV-28-T-464-02.post10-11,Shrub,1.9625
ESV-28-T-464-02.post10-11,Tree,1.575
ESV-28-T-464-02.post10-11,UNK,0.025
ESV-28-T-465-04.01_Pre,Forb,5.55
ESV-28-T-465-04.01_Pre,Graminoid,4.1625
ESV-28-T-465-04.01_Pre,Shrub,12.325
ESV-28-T-465-04.01_Pre,Tree,2.3
ESV-28-T-465-04.01_Pre,UNK,0.07500000000000001
ESV-28-T-465-04.post0-1,Forb,7.2
ESV-28-T-465-04.post0-1,Graminoid,18.55
ESV-28-T-465-04.post0-1,Shrub,10.575
ESV-28-T-465-04.post0-1,Tree,2.275
ESV-28-T-465-04.post04-5,Forb,26.1125
ESV-28-T-465-04.post04-5,Graminoid,51.325
ESV-28-T-465-04.post04-5,Shrub,17.8375
ESV-28-T-465-04.post04-5,Tree,0.5750000000000001
ESV-28-T-465-04.post10-11,Forb,12.762500000000001
ESV-28-T-465-04.post10-11,Graminoid,23.412499999999998
ESV-28-T-465-04.post10-11,Shrub,15.55
ESV-28-T-465-04.post10-11,Tree,0.07500000000000001
ESV-28-T-467-01.01_Pre,Forb,1.875
ESV-28-T-467-01.01_Pre,Graminoid,4.375
ESV-28-T-467-01.01_Pre,Shrub,2.425
ESV-28-T-467-01.01_Pre,Tree,4.6000000000000005
ESV-28-T-467-01.01_Pre,UNK,0.025
ESV-28-T-467-01.post0-1,Forb,4.675
ESV-28-T-467-01.post0-1,Graminoid,6.075
ESV-28-T-467-01.post0-1,Shrub,2.675
ESV-28-T-467-01.post0-1,Tree,0.1
ESV-28-T-467-01.post04-5,Forb,24.275
ESV-28-T-467-01.post04-5,Graminoid,28.9125
ESV-28-T-467-01.post04-5,Shrub,3.9499999999999997
ESV-28-T-467-01.post04-5,Tree,0.55
ESV-28-T-467-01.post10-11,Forb,11.075
ESV-28-T-467-01.post10-11,Graminoid,12.675
ESV-28-T-467-01.post10-11,Shrub,4.175
ESV-28-T-467-01.post10-11,Tree,1.825
ESV-28-T-467-01.post10-11,UNK,0.05
ESV-34-C-01.01_Pre,Forb,1.675
ESV-34-C-01.01_Pre,Graminoid,2.25
ESV-34-C-01.01_Pre,Shrub,2.825
ESV-34-C-01.01_Pre,Tree,7.8
ESV-34-C-01.post0-1,Forb,0.85
ESV-34-C-01.post0-1,Graminoid,0.275
ESV-34-C-01.post0-1,Shrub,3.075
ESV-34-C-01.post0-1,Tree,7.8
ESV-34-C-01.post04-5,Forb,3.75
ESV-34-C-01.post04-5,Graminoid,3.05
ESV-34-C-01.post04-5,Shrub,2.8
ESV-34-C-01.post04-5,Tree,15.05
ESV-34-C-01.post10-11,Forb,1.6749999999999998
ESV-34-C-01.post10-11,Graminoid,1.0999999999999999
ESV-34-C-01.post10-11,Shrub,3.125
ESV-34-C-01.post10-11,Tree,3.8125
ESV-34-C-02.01_Pre,Forb,0.47500000000000003
ESV-34-C-02.01_Pre,Graminoid,0.05
ESV-34-C-02.01_Pre,Shrub,28.6
ESV-34-C-02.01_Pre,Tree,0.8
ESV-34-C-02.post0-1,Forb,0.30000000000000004
ESV-34-C-02.post0-1,Graminoid,0.05
ESV-34-C-02.post0-1,Shrub,19.625
ESV-34-C-02.post0-1,Tree,1.55
ESV-34-C-02.post04-5,Forb,0.5
ESV-34-C-02.post04-5,Graminoid,0.1
ESV-34-C-02.post04-5,Shrub,21.575
ESV-34-C-02.post04-5,Tree,1.05
ESV-34-C-02.post04-5,UNK,0.025
ESV-34-C-02.post10-11,Forb,0.6
ESV-34-C-02.post10-11,Graminoid,0.125
ESV-34-C-02.post10-11,Shrub,10.6
ESV-34-C-02.post10-11,Tree,0.1875
ESV-34-C-03.01_Pre,Forb,6.9
ESV-34-C-03.01_Pre,Graminoid,1.025
ESV-34-C-03.01_Pre,Shrub,7.55
ESV-34-C-03.01_Pre,Tree,12.275
ESV-34-C-03.01_Pre,UNK,0.025
ESV-34-C-03.post0-1,Forb,1.275
ESV-34-C-03.post0-1,Graminoid,3.3
ESV-34-C-03.post0-1,Shrub,12.3
ESV-34-C-03.post0-1,Tree,3.025
ESV-34-C-03.post04-5,Forb,6.325
ESV-34-C-03.post04-5,Graminoid,7.025
ESV-34-C-03.post04-5,Shrub,12.325
ESV-34-C-03.post04-5,Tree,10.8
ESV-34-C-03.post04-5,UNK,0.025
ESV-34-C-03.post10-11,Forb,2.475
ESV-34-C-03.post10-11,Graminoid,3.325
ESV-34-C-03.post10-11,Shrub,12.575
ESV-34-C-03.post10-11,Tree,3.8249999999999997
ESV-34-C-03.post10-11,UNK,0.025
ESV-34-T-524-03.01_Pre,Forb,0.525
ESV-34-T-524-03.01_Pre,Graminoid,0.825
ESV-34-T-524-03.01_Pre,Shrub,4.6
ESV-34-T-524-03.01_Pre,Tree,3.5
ESV-34-T-524-03.post0-1,Forb,0.45
ESV-34-T-524-03.post0-1,Graminoid,0.575
ESV-34-T-524-03.post0-1,Shrub,2.825
ESV-34-T-524-03.post0-1,Tree,0.3
ESV-34-T-524-03.post04-5,Forb,7.15
ESV-34-T-524-03.post04-5,Graminoid,4.575
ESV-34-T-524-03.post04-5,Shrub,5.55
ESV-34-T-524-03.post04-5,Tree,0.525
ESV-34-T-524-03.post10-11,Forb,3.225
ESV-34-T-524-03.post10-11,Graminoid,1.85
ESV-34-T-524-03.post10-11,Shrub,1.875
ESV-34-T-524-03.post10-11,Tree,0.28750000000000003
ESV-34-T-524-04.01_Pre,Forb,1.5
ESV-34-T-524-04.01_Pre,Graminoid,0.1
ESV-34-T-524-04.01_Pre,Shrub,10.35
ESV-34-T-524-04.01_Pre,Tree,8.05
ESV-34-T-524-04.post0-1,Forb,1.325
ESV-34-T-524-04.post0-1,Graminoid,0.07500000000000001
ESV-34-T-524-04.post0-1,Shrub,3.925
ESV-34-T-524-04.post0-1,Tree,0.8250000000000001
ESV-34-T-524-04.post04-5,Forb,40.625
ESV-34-T-524-04.post04-5,Graminoid,15.65
ESV-34-T-524-04.post04-5,Shrub,34.85
ESV-34-T-524-04.post04-5,Tree,0.775
ESV-34-T-524-04.post10-11,Forb,12.7125
ESV-34-T-524-04.post10-11,Graminoid,11.975
ESV-34-T-524-04.post10-11,Shrub,17.775
ESV-34-T-524-04.post10-11,Tree,3.6875
ESV-34-T-524-06.01_Pre,Forb,1.675
ESV-34-T-524-06.01_Pre,Graminoid,0.775
ESV-34-T-524-06.01_Pre,Shrub,11.375
ESV-34-T-524-06.01_Pre,Tree,1.525
ESV-34-T-524-06.post0-1,Forb,0.65
ESV-34-T-524-06.post0-1,Graminoid,0.775
ESV-34-T-524-06.post0-1,Shrub,10.7625
ESV-34-T-524-06.post0-1,Tree,0.07500000000000001
ESV-34-T-524-06.post0-1,UNK,0.025
ESV-34-T-524-06.post04-5,Forb,19.925
ESV-34-T-524-06.post04-5,Graminoid,14.025
ESV-34-T-524-06.post04-5,Shrub,24.575
ESV-34-T-524-06.post04-5,Tree,0.07500000000000001
ESV-34-T-524-06.post04-5,UNK,0.55
ESV-34-T-524-06.post10-11,Forb,9.025
ESV-34-T-524-06.post10-11,Graminoid,10.3125
ESV-34-T-524-06.post10-11,Shrub,20.775
ESV-34-T-524-06.post10-11,Tree,0.07500000000000001
ESV-34-T-524-06.post10-11,UNK,0.05
P1-2-C-01.01_Pre,Forb,1.2
P1-2-C-01.01_Pre,Graminoid,3.025
P1-2-C-01.01_Pre,Shrub,8.525
P1-2-C-01.01_Pre,Tree,0.55
P1-2-C-01.post0-1,Forb,0.925
P1-2-C-01.post0-1,Graminoid,1.275
P1-2-C-01.post0-1,Shrub,8.025
P1-2-C-01.post0-1,Tree,2.775
P1-2-C-01.post04-5,Forb,3.4
P1-2-C-01.post04-5,Graminoid,3.275
P1-2-C-01.post04-5,Shrub,14.025
P1-2-C-01.post04-5,Tree,1.05
P1-2-C-01.post10-11,Forb,2.1374999999999997
P1-2-C-01.post10-11,Graminoid,5.0875
P1-2-C-01.post10-11,Shrub,6.812500000000001
P1-2-C-01.post10-11,Tree,0.07500000000000001
P1-2-C-01.post10-11,UNK,0.07500000000000001
P1-2-C-02.01_Pre,Forb,1.475
P1-2-C-02.01_Pre,Graminoid,9
P1-2-C-02.01_Pre,Shrub,7.275
P1-2-C-02.01_Pre,Tree,0.07500000000000001
P1-2-C-02.post0-1,Forb,1.3125
P1-2-C-02.post0-1,Graminoid,3.75
P1-2-C-02.post0-1,Shrub,6.25
P1-2-C-02.post0-1,Tree,0.07500000000000001
P1-2-C-02.post04-5,Forb,3.675
P1-2-C-02.post04-5,Graminoid,11
P1-2-C-02.post04-5,Shrub,7.525
P1-2-C-02.post04-5,Tree,0.75
P1-2-C-02.post04-5,UNK,0.025
P1-2-C-02.post10-11,Forb,1.7625000000000002
P1-2-C-02.post10-11,Graminoid,5.2250000000000005
P1-2-C-02.post10-11,Shrub,1.6875
P1-2-C-02.post10-11,Tree,0.3125
P1-2-C-02.post10-11,UNK,1.05
P1-2-C-03.01_Pre,Forb,2.85
P1-2-C-03.01_Pre,Graminoid,5.325
P1-2-C-03.01_Pre,Shrub,25.5
P1-2-C-03.01_Pre,Tree,5.25
P1-2-C-03.post0-1,Forb,2.5
P1-2-C-03.post0-1,Graminoid,3.025
P1-2-C-03.post0-1,Shrub,30.75
P1-2-C-03.post0-1,Tree,8.525
P1-2-C-03.post0-1,UNK,0.025
P1-2-C-03.post04-5,Forb,2.825
P1-2-C-03.post04-5,Graminoid,6.05
P1-2-C-03.post04-5,Shrub,31.75
P1-2-C-03.post04-5,Tree,13.775
P1-2-C-03.post10-11,Forb,3.4375
P1-2-C-03.post10-11,Graminoid,1.95
P1-2-C-03.post10-11,Shrub,24.9375
P1-2-C-03.post10-11,Tree,11.9625
P1-2-C-04.01_Pre,Forb,2.675
P1-2-C-04.01_Pre,Graminoid,9.5
P1-2-C-04.01_Pre,Shrub,3.05
P1-2-C-04.01_Pre,Tree,1.525
P1-2-C-04.post0-1,Forb,2.45
P1-2-C-04.post0-1,Graminoid,5.775
P1-2-C-04.post0-1,Shrub,3.3
P1-2-C-04.post0-1,Tree,1.775
P1-2-C-04.post04-5,Forb,4.65
P1-2-C-04.post04-5,Graminoid,12.8
P1-2-C-04.post04-5,Shrub,8.025
P1-2-C-04.post04-5,Tree,1.05
P1-2-C-04.post10-11,Forb,2.075
P1-2-C-04.post10-11,Graminoid,3.8375
P1-2-C-04.post10-11,Shrub,5.5875
P1-2-C-04.post10-11,Tree,1.8499999999999999
P1-2-C-04.post10-11,UNK,0.07500000000000001
P1-2-C-05.01_Pre,Forb,0.925
P1-2-C-05.01_Pre,Graminoid,3.025
P1-2-C-05.01_Pre,Shrub,10.3
P1-2-C-05.01_Pre,Tree,1.075
P1-2-C-05.post0-1,Forb,0.8250000000000001
P1-2-C-05.post0-1,Graminoid,2.275
P1-2-C-05.post0-1,Shrub,11.775
P1-2-C-05.post0-1,Tree,0.325
P1-2-C-05.post04-5,Forb,1.6
P1-2-C-05.post04-5,Graminoid,7.525
P1-2-C-05.post04-5,Shrub,12.025
P1-2-C-05.post04-5,Tree,1.8
P1-2-C-05.post10-11,Forb,2.3375
P1-2-C-05.post10-11,Graminoid,3.225
P1-2-C-05.post10-11,Shrub,11.6
P1-2-C-05.post10-11,Tree,1.8499999999999999
P1-2-C-05.post10-11,UNK,0.05
P1-2-T-610-03.01_Pre,Forb,3.15
P1-2-T-610-03.01_Pre,Graminoid,4.325
P1-2-T-610-03.01_Pre,Shrub,21.525
P1-2-T-610-03.01_Pre,Tree,2.275
P1-2-T-610-03.post0-1,Forb,0.8
P1-2-T-610-03.post0-1,Graminoid,3.325
P1-2-T-610-03.post0-1,Shrub,21.025
P1-2-T-610-03.post0-1,Tree,0.1
P1-2-T-610-03.post04-5,Forb,2.225
P1-2-T-610-03.post04-5,Graminoid,7.3
P1-2-T-610-03.post04-5,Shrub,23.3
P1-2-T-610-03.post04-5,Tree,5.800000000000001
P1-2-T-610-03.post04-5,UNK,0.05
P1-2-T-610-03.post10-11,Forb,2.1
P1-2-T-610-03.post10-11,Graminoid,5.325
P1-2-T-610-03.post10-11,Shrub,24.775
P1-2-T-610-03.post10-11,Tree,2.3125
P1-2-T-610-03.post10-11,UNK,0.025
P1-2-T-610-05.01_Pre,Forb,1.375
P1-2-T-610-05.01_Pre,Graminoid,2.25
P1-2-T-610-05.01_Pre,Shrub,11.775
P1-2-T-610-05.01_Pre,Tree,0.325
P1-2-T-610-05.post0-1,Forb,0.35000000000000003
P1-2-T-610-05.post0-1,Graminoid,1.025
P1-2-T-610-05.post0-1,Shrub,8
P1-2-T-610-05.post0-1,Tree,0.05
P1-2-T-610-05.post04-5,Forb,2.125
P1-2-T-610-05.post04-5,Graminoid,3.325
P1-2-T-610-05.post04-5,Shrub,12.3
P1-2-T-610-05.post04-5,Tree,0.55
P1-2-T-610-05.post04-5,UNK,0.025
P1-2-T-610-05.post10-11,Forb,1.675
P1-2-T-610-05.post10-11,Graminoid,7.3
P1-2-T-610-05.post10-11,Shrub,13.775
P1-2-T-610-05.post10-11,Tree,0.9375
P1-2-T-615-01.01_Pre,Forb,2.4250000000000003
P1-2-T-615-01.01_Pre,Graminoid,9.65
P1-2-T-615-01.01_Pre,Shrub,9.025
P1-2-T-615-01.01_Pre,Tree,10.525
P1-2-T-615-01.01_Pre,UNK,0.025
P1-2-T-615-01.post0-1,Forb,1.375
P1-2-T-615-01.post0-1,Graminoid,5.775
P1-2-T-615-01.post0-1,Shrub,9.3
P1-2-T-615-01.post0-1,Tree,5.75
P1-2-T-615-02.01_Pre,Forb,1.325
P1-2-T-615-02.01_Pre,Graminoid,5.45
P1-2-T-615-02.01_Pre,Shrub,7.3
P1-2-T-615-02.01_Pre,Tree,5.825
P1-2-T-615-02.post0-1,Forb,0.375
P1-2-T-615-02.post0-1,Graminoid,2.05
P1-2-T-615-02.post0-1,Shrub,7.275
P1-2-T-615-02.post0-1,Tree,5.05
P1-2-T-616-02.01_Pre,Forb,0.55
P1-2-T-616-02.01_Pre,Graminoid,0.825
P1-2-T-616-02.01_Pre,Shrub,9.5
P1-2-T-616-02.01_Pre,Tree,7.8
P1-2-T-616-02.post0-1,Forb,0.6
P1-2-T-616-02.post0-1,Graminoid,1.35
P1-2-T-616-02.post0-1,Shrub,6.025
P1-2-T-616-02.post0-1,Tree,1.075
P1-2-T-616-02.post04-5,Forb,2.8625
P1-2-T-616-02.post04-5,Graminoid,20.075
P1-2-T-616-02.post04-5,Shrub,13.525
P1-2-T-616-02.post04-5,Tree,7.25
P1-2-T-616-02.post04-5,UNK,0.025
P1-2-T-616-02.post10-11,Forb,2.8875
P1-2-T-616-02.post10-11,Graminoid,8.0875
P1-2-T-616-02.post10-11,Shrub,10.9375
P1-2-T-616-02.post10-11,Tree,8.575
P2-3-C-01.01_Pre,Forb,2.1
P2-3-C-01.01_Pre,Graminoid,1.775
P2-3-C-01.01_Pre,Shrub,1.775
P2-3-C-01.01_Pre,Tree,0.8
P2-3-C-01.post0-1,Forb,1.4000000000000001
P2-3-C-01.post0-1,Graminoid,0.3
P2-3-C-01.post0-1,Shrub,2.525
P2-3-C-01.post0-1,Tree,1.05
P2-3-C-01.post04-5,Forb,2.15
P2-3-C-01.post04-5,Graminoid,0.825
P2-3-C-01.post04-5,Shrub,5.775
P2-3-C-01.post04-5,Tree,4.275
P2-3-C-01.post10-11,Forb,2.3000000000000003
P2-3-C-01.post10-11,Graminoid,1.1125
P2-3-C-01.post10-11,Shrub,1.8499999999999999
P2-3-C-01.post10-11,Tree,2.5625
P2-3-C-02.01_Pre,Forb,1.325
P2-3-C-02.01_Pre,Graminoid,2.6
P2-3-C-02.01_Pre,Shrub,15.025
P2-3-C-02.01_Pre,Tree,7.575
P2-3-C-02.01_Pre,UNK,0.25
P2-3-C-02.post0-1,Forb,1
P2-3-C-02.post0-1,Graminoid,1.1
P2-3-C-02.post0-1,Shrub,16.525
P2-3-C-02.post0-1,Tree,9.05
P2-3-C-02.post04-5,Forb,1.9000000000000001
P2-3-C-02.post04-5,Graminoid,6.825
P2-3-C-02.post04-5,Shrub,19.025
P2-3-C-02.post04-5,Tree,12
P2-3-C-02.post10-11,Forb,2.4250000000000003
P2-3-C-02.post10-11,Graminoid,2.625
P2-3-C-02.post10-11,Shrub,13.075000000000001
P2-3-C-02.post10-11,Tree,7.5625
P2-3-C-03.01_Pre,Forb,1.725
P2-3-C-03.01_Pre,Graminoid,4.05
P2-3-C-03.01_Pre,Shrub,7.025
P2-3-C-03.01_Pre,Tree,7
P2-3-C-03.post0-1,Forb,0.8250000000000001
P2-3-C-03.post0-1,Graminoid,1.55
P2-3-C-03.post0-1,Shrub,7.525
P2-3-C-03.post0-1,Tree,5.275
P2-3-C-03.post04-5,Forb,1.525
P2-3-C-03.post04-5,Graminoid,8.05
P2-3-C-03.post04-5,Shrub,10.025
P2-3-C-03.post04-5,Tree,12.025
P2-3-C-03.post10-11,Forb,1.375
P2-3-C-03.post10-11,Graminoid,3.55
P2-3-C-03.post10-11,Shrub,4.275
